3 Makes In a Row in the Normal Dataset,3 Makes In a Row in the Shuffled Dataset
7,4
0,2
0,2
0,1
13,10
2,3
0,1
1,3
3,1
6,6
5,0
1,4
1,1
9,6
2,4
0,0
0,0
12,8
4,3
4,2
2,1
0,0
