3 Makes In a Row in the Normal Dataset,3 Makes In a Row in the Shuffled Dataset
3,1
30,38
5,4
23,18
1,2
16,19
12,10
3,2
28,16
10,7
8,16
16,31
4,6
10,12
3,8
18,24
11,12
5,7
3,5
9,7
2,5
14,9
13,13
24,18
17,13
30,21
0,1
12,24
7,4
8,8
2,0
5,1
4,6
2,4
2,0
8,10
2,0
5,6
0,0
1,3
0,2
2,0
23,21
4,7
5,9
8,7
5,4
1,0
7,6
