3 Makes In a Row in the Normal Dataset,3 Makes In a Row in the Shuffled Dataset
7,6
0,2
0,0
2,4
0,0
0,0
4,5
6,7
11,12
2,0
4,1
0,1
6,2
5,9
6,3
0,2
10,10
0,1
1,0
22,21
6,10
2,1
0,2
1,1
0,0
8,6
4,1
1,0
2,4
1,0
7,7
